,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day30,day31,day32,day33,day34,day35,day36,day37,day38,day39,day40,day41,day42,day43,day44,day45,day46,day47,day48,day49,day50,id
0,5.0,0.0,0.0,0.0,0.0,4.0,33.0,1.0,22.0,0.0,17.0,19.0,2.0,27.0,17.0,0.0,0.0,19.0,0.0,3.0,2.0,1.0,2.0,0.0,0.0,10.0,4.0,10.0,0.0,4.0,5.0,6.0,3.0,6.0,4.0,6.0,3.0,25.0,6.0,4.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106707
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0,16.0,71.0,4.0,1.0,3.0,0.0,3.0,7.0,3.0,1.0,9.0,5.0,0.0,9.0,1.0,12.0,0.0,14.0,9.0,0.0,0.0,0.0,10.0,0.0,9.0,20.0,0.0,1.0,4.0,7.0,12.0,2.0,0.0,4.0,0.0,1.0,0.0,104716
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,25.0,2.0,11.0,4.0,4.0,2.0,9.0,12.0,17.0,3.0,1.0,13.0,0.0,4.0,10.0,0.0,6.0,0.0,0.0,8.0,5.0,2.0,5.0,5.0,4.0,38.0,33.0,17.0,6.0,15.0,7.0,5.0,11.0,3.0,13.0,7.0,0.0,0.0,0.0,0.0,5.0,104500
3,0.0,0.0,16.0,0.0,0.0,8.0,8.0,6.0,3.0,18.0,2.0,5.0,9.0,13.0,6.0,11.0,7.0,0.0,4.0,2.0,9.0,3.0,11.0,1.0,8.0,6.0,4.0,16.0,11.0,6.0,14.0,9.0,7.0,0.0,8.0,0.0,50.0,8.0,1.0,6.0,0.0,3.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,105751
