roster_randomid,url,action,created_at,interaction_seconds,remote_ip
105751,https://ucirvine.instructure.com/api/v1/courses/2230/pages/welcome-to-physics-3a?per_page=30,show,2016-07-31T16:36:01Z,,99.73.213.161
105751,https://ucirvine.instructure.com/api/v1/courses/2230/pages/5-box-solution-format?per_page=30,show,2016-07-31T16:36:01Z,,99.73.213.161
105751,https://canvas.eee.uci.edu/courses/2230/files/742190?module_item_id=62039,show,2016-07-30T18:46:51Z,,99.73.213.161
105751,https://canvas.eee.uci.edu/courses/2230,show,2016-07-30T18:46:37Z,,99.73.213.161
105751,https://canvas.eee.uci.edu/courses/2230,show,2016-07-28T18:29:40Z,,174.77.32.245
105751,https://canvas.eee.uci.edu/courses/2230,show,2016-07-28T18:29:04Z,,174.77.32.245
105751,https://canvas.eee.uci.edu/courses/2230,show,2016-07-26T21:24:36Z,,174.77.32.245
105751,https://canvas.eee.uci.edu/courses/2230/discussion_topics/27475?module_item_id=62465,show,2016-07-26T21:24:34Z,,174.77.32.245
105751,https://canvas.eee.uci.edu/courses/2230/assignments/49367?module_item_id=62451,show,2016-07-25T08:07:06Z,,174.77.32.245
105751,https://canvas.eee.uci.edu/courses/2230,show,2016-07-25T08:06:58Z,,174.77.32.245
105751,https://canvas.eee.uci.edu/courses/2230/assignments/49367/submissions/3600,show,2016-07-24T05:42:40Z,,97.90.129.7
105751,https://canvas.eee.uci.edu/courses/2230/assignments/49367/submissions,create,2016-07-24T05:42:35Z,,97.90.129.7
105751,https://canvas.eee.uci.edu/courses/2230,show,2016-07-24T05:42:16Z,,97.90.129.7
105751,https://canvas.eee.uci.edu/courses/2230/files/748146/download?wrap=1,show,2016-07-22T07:16:29Z,,174.77.32.245
105751,https://canvas.eee.uci.edu/courses/2230/files/748087/download?wrap=1,show,2016-07-22T06:19:51Z,,174.77.32.245
105751,https://canvas.eee.uci.edu/courses/2230/pages/week-5-daily-lectures?module_item_id=62449,show,2016-07-22T06:11:05Z,13.0,174.77.32.245
105751,https://canvas.eee.uci.edu/courses/2230/pages/week-5-daily-lectures?module_item_id=62449,show,2016-07-22T00:18:46Z,,174.77.32.245
105751,https://canvas.eee.uci.edu/courses/2230/pages/reading-schedule?module_item_id=62397,show,2016-07-22T00:18:41Z,,174.77.32.245
105751,https://canvas.eee.uci.edu/courses/2230,show,2016-07-22T00:17:54Z,18.0,174.77.32.245
105751,https://canvas.eee.uci.edu/courses/2230/files/748052/download?wrap=1,show,2016-07-21T04:43:31Z,,174.77.35.134
105751,https://canvas.eee.uci.edu/courses/2230,show,2016-07-20T21:38:54Z,,174.77.35.134
105751,https://canvas.eee.uci.edu/courses/2230/assignments/49376?module_item_id=62450,show,2016-07-20T21:38:48Z,,174.77.35.134
105751,https://canvas.eee.uci.edu/courses/2230/assignments/49376/submissions,create,2016-07-20T21:38:48Z,,174.77.35.134
105751,https://canvas.eee.uci.edu/courses/2230/assignments/49376?module_item_id=62450,show,2016-07-20T21:38:26Z,,174.77.35.134
105751,https://canvas.eee.uci.edu/courses/2230,show,2016-07-20T21:38:15Z,,174.77.35.134
105751,https://ucirvine.instructure.com/api/v1/courses/2230/pages/week-5-daily-lectures?per_page=30,show,2016-07-20T21:35:37Z,,174.77.35.162
105751,https://canvas.eee.uci.edu/courses/2230/files/748055/download?wrap=1,show,2016-07-20T06:46:45Z,,174.77.35.134
105751,https://canvas.eee.uci.edu/courses/2230/pages/week-5-daily-lectures?module_item_id=62449,show,2016-07-20T06:46:32Z,12.0,174.77.35.134
105751,https://canvas.eee.uci.edu/courses/2230/pages/practice-exams?module_item_id=62459,show,2016-07-19T21:35:05Z,,174.77.35.134
105751,https://canvas.eee.uci.edu/courses/2230/files/748160/download?wrap=1,show,2016-07-19T21:21:00Z,,174.77.35.134
105751,https://canvas.eee.uci.edu/courses/2230/files/748161/download?wrap=1,show,2016-07-19T21:20:51Z,,174.77.35.134
