roster_randomid,url,action,created_at,interaction_seconds,remote_ip
104500,https://canvas.eee.uci.edu/courses/2230/files/748131?module_item_id=62444,show,2016-07-21T22:32:42Z,15.0,68.231.213.182
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-21T22:32:22Z,,68.231.213.182
104500,https://canvas.eee.uci.edu/courses/2230/pages/week-4-daily-lectures?module_item_id=62440,show,2016-07-21T22:07:20Z,13.0,68.231.213.182
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-21T22:07:01Z,,68.231.213.182
104500,https://canvas.eee.uci.edu/courses/2230/assignments/49373?module_item_id=62433,show,2016-07-21T04:17:59Z,,68.231.213.182
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-21T04:17:48Z,,68.231.213.182
104500,https://canvas.eee.uci.edu/courses/2230/assignments/49376,show,2016-07-21T04:11:28Z,,68.231.213.182
104500,https://canvas.eee.uci.edu/courses/2230/assignments/49376/submissions,create,2016-07-21T04:11:28Z,,68.231.213.182
104500,https://canvas.eee.uci.edu/courses/2230/assignments/49375/submissions/11512?preview=1&rand=272760,show,2016-07-21T04:11:11Z,,68.231.213.182
104500,https://canvas.eee.uci.edu/courses/2230/assignments/49375/submissions/11512,show,2016-07-21T04:11:10Z,,68.231.213.182
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-21T04:11:02Z,,68.231.213.182
104500,https://canvas.eee.uci.edu/courses/2230/files/748154/download?wrap=1,show,2016-07-21T03:42:20Z,,68.231.213.182
104500,https://canvas.eee.uci.edu/courses/2230/assignments/49376,show,2016-07-21T03:42:11Z,,68.231.213.182
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-21T03:19:19Z,11.0,68.231.213.182
104500,https://canvas.eee.uci.edu/courses/2230/pages/week-5-daily-lectures?module_item_id=62449,show,2016-07-21T02:21:04Z,,68.231.213.182
104500,https://canvas.eee.uci.edu/courses/2230/pages/week-5-daily-lectures?module_item_id=62449,show,2016-07-20T23:34:05Z,11.0,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-20T23:33:58Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/assignments/49372?module_item_id=62432,show,2016-07-20T23:02:08Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-20T23:01:51Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/pages/week-5-daily-lectures?module_item_id=62449,show,2016-07-20T05:19:34Z,,70.187.187.85
